destination_name,name,category,duration_hours,difficulty,price_npr,description,available_months
dest,Satasidham Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Satasidham,"3,4,5,9,10,11"
dest,Lake Boating - Satasidham,Nature,2,Easy,500,Boating on the scenic lake at Satasidham,"3,4,5,9,10,11"
dest,Waterfall Visit - Satasidham,Nature,3,Easy,0,Visit to nearby waterfall at Satasidham,"3,4,5,9,10,11"
dest,Nature Photography - Satasidham,Nature,3,Easy,0,Photography at scenic viewpoints at Satasidham,"3,4,5,9,10,11"
dest,Village Walk - Satasidham,Nature,2,Easy,0,Walk through traditional villages at Satasidham,"3,4,5,9,10,11"
dest,Viewpoint Visit - Satasidham,Nature,1.5,Easy,0,Visit scenic viewpoint at Satasidham,"3,4,5,9,10,11"
dest,Garden Tour - Satasidham,Nature,2,Easy,200,Visit to botanical garden or park at Satasidham,"3,4,5,9,10,11"
dest,Arjundhara Dham Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Arjundhara Dham,"1,2,3,4,5,9,10,11,12"
dest,Temple Visit - Arjundhara Dham,Cultural,2,Easy,300,Visit the historic temple complex at Arjundhara Dham,"1,2,3,4,5,9,10,11,12"
dest,Heritage Walk - Arjundhara Dham,Cultural,3,Easy,200,Guided heritage walking tour at Arjundhara Dham,"1,2,3,4,5,9,10,11,12"
dest,Cultural Dance Show - Arjundhara Dham,Cultural,2,Easy,500,Traditional Nepali dance performance at Arjundhara Dham,"1,2,3,4,5,9,10,11,12"
dest,Pottery Workshop - Arjundhara Dham,Cultural,2,Easy,800,Learn traditional Nepali pottery at Arjundhara Dham,"1,2,3,4,5,9,10,11,12"
dest,Local Market Tour - Arjundhara Dham,Cultural,2,Easy,0,Explore local market and shops at Arjundhara Dham,"1,2,3,4,5,9,10,11,12"
dest,Museum Visit - Arjundhara Dham,Cultural,2,Easy,400,Visit the local museum at Arjundhara Dham,"1,2,3,4,5,9,10,11,12"
dest,Kichakavadh Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Kichakavadh,"1,2,3,4,5,9,10,11,12"
dest,Temple Visit - Kichakavadh,Cultural,2,Easy,300,Visit the historic temple complex at Kichakavadh,"1,2,3,4,5,9,10,11,12"
dest,Heritage Walk - Kichakavadh,Cultural,3,Easy,200,Guided heritage walking tour at Kichakavadh,"1,2,3,4,5,9,10,11,12"
dest,Cultural Dance Show - Kichakavadh,Cultural,2,Easy,500,Traditional Nepali dance performance at Kichakavadh,"1,2,3,4,5,9,10,11,12"
dest,Pottery Workshop - Kichakavadh,Cultural,2,Easy,800,Learn traditional Nepali pottery at Kichakavadh,"1,2,3,4,5,9,10,11,12"
dest,Local Market Tour - Kichakavadh,Cultural,2,Easy,0,Explore local market and shops at Kichakavadh,"1,2,3,4,5,9,10,11,12"
dest,Museum Visit - Kichakavadh,Cultural,2,Easy,400,Visit the local museum at Kichakavadh,"1,2,3,4,5,9,10,11,12"
dest,Biratpokhar Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Biratpokhar,"3,4,5,9,10,11"
dest,Lake Boating - Biratpokhar,Nature,2,Easy,500,Boating on the scenic lake at Biratpokhar,"3,4,5,9,10,11"
dest,Waterfall Visit - Biratpokhar,Nature,3,Easy,0,Visit to nearby waterfall at Biratpokhar,"3,4,5,9,10,11"
dest,Nature Photography - Biratpokhar,Nature,3,Easy,0,Photography at scenic viewpoints at Biratpokhar,"3,4,5,9,10,11"
dest,Village Walk - Biratpokhar,Nature,2,Easy,0,Walk through traditional villages at Biratpokhar,"3,4,5,9,10,11"
dest,Viewpoint Visit - Biratpokhar,Nature,1.5,Easy,0,Visit scenic viewpoint at Biratpokhar,"3,4,5,9,10,11"
dest,Garden Tour - Biratpokhar,Nature,2,Easy,200,Visit to botanical garden or park at Biratpokhar,"3,4,5,9,10,11"
dest,Krishnathumki Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Krishnathumki,"1,2,3,4,5,9,10,11,12"
dest,Temple Visit - Krishnathumki,Cultural,2,Easy,300,Visit the historic temple complex at Krishnathumki,"1,2,3,4,5,9,10,11,12"
dest,Heritage Walk - Krishnathumki,Cultural,3,Easy,200,Guided heritage walking tour at Krishnathumki,"1,2,3,4,5,9,10,11,12"
dest,Cultural Dance Show - Krishnathumki,Cultural,2,Easy,500,Traditional Nepali dance performance at Krishnathumki,"1,2,3,4,5,9,10,11,12"
dest,Pottery Workshop - Krishnathumki,Cultural,2,Easy,800,Learn traditional Nepali pottery at Krishnathumki,"1,2,3,4,5,9,10,11,12"
dest,Local Market Tour - Krishnathumki,Cultural,2,Easy,0,Explore local market and shops at Krishnathumki,"1,2,3,4,5,9,10,11,12"
dest,Museum Visit - Krishnathumki,Cultural,2,Easy,400,Visit the local museum at Krishnathumki,"1,2,3,4,5,9,10,11,12"
dest,Jamunkhadi Wetland Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Jamunkhadi Wetland,"3,4,5,9,10,11"
dest,Lake Boating - Jamunkhadi Wetland,Nature,2,Easy,500,Boating on the scenic lake at Jamunkhadi Wetland,"3,4,5,9,10,11"
dest,Waterfall Visit - Jamunkhadi Wetland,Nature,3,Easy,0,Visit to nearby waterfall at Jamunkhadi Wetland,"3,4,5,9,10,11"
dest,Nature Photography - Jamunkhadi Wetland,Nature,3,Easy,0,Photography at scenic viewpoints at Jamunkhadi Wetland,"3,4,5,9,10,11"
dest,Village Walk - Jamunkhadi Wetland,Nature,2,Easy,0,Walk through traditional villages at Jamunkhadi Wetland,"3,4,5,9,10,11"
dest,Viewpoint Visit - Jamunkhadi Wetland,Nature,1.5,Easy,0,Visit scenic viewpoint at Jamunkhadi Wetland,"3,4,5,9,10,11"
dest,Garden Tour - Jamunkhadi Wetland,Nature,2,Easy,200,Visit to botanical garden or park at Jamunkhadi Wetland,"3,4,5,9,10,11"
dest,Hiledhap Wetland Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Hiledhap Wetland,"3,4,5,9,10,11"
dest,Lake Boating - Hiledhap Wetland,Nature,2,Easy,500,Boating on the scenic lake at Hiledhap Wetland,"3,4,5,9,10,11"
dest,Waterfall Visit - Hiledhap Wetland,Nature,3,Easy,0,Visit to nearby waterfall at Hiledhap Wetland,"3,4,5,9,10,11"
dest,Nature Photography - Hiledhap Wetland,Nature,3,Easy,0,Photography at scenic viewpoints at Hiledhap Wetland,"3,4,5,9,10,11"
dest,Village Walk - Hiledhap Wetland,Nature,2,Easy,0,Walk through traditional villages at Hiledhap Wetland,"3,4,5,9,10,11"
dest,Viewpoint Visit - Hiledhap Wetland,Nature,1.5,Easy,0,Visit scenic viewpoint at Hiledhap Wetland,"3,4,5,9,10,11"
dest,Garden Tour - Hiledhap Wetland,Nature,2,Easy,200,Visit to botanical garden or park at Hiledhap Wetland,"3,4,5,9,10,11"
dest,Mai Khola (Kankai river) Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Mai Khola (Kankai river),"1,2,3,4,5,9,10,11,12"
dest,Temple Visit - Mai Khola (Kankai river),Cultural,2,Easy,300,Visit the historic temple complex at Mai Khola (Kankai river),"1,2,3,4,5,9,10,11,12"
dest,Heritage Walk - Mai Khola (Kankai river),Cultural,3,Easy,200,Guided heritage walking tour at Mai Khola (Kankai river),"1,2,3,4,5,9,10,11,12"
dest,Cultural Dance Show - Mai Khola (Kankai river),Cultural,2,Easy,500,Traditional Nepali dance performance at Mai Khola (Kankai river),"1,2,3,4,5,9,10,11,12"
dest,Pottery Workshop - Mai Khola (Kankai river),Cultural,2,Easy,800,Learn traditional Nepali pottery at Mai Khola (Kankai river),"1,2,3,4,5,9,10,11,12"
dest,Local Market Tour - Mai Khola (Kankai river),Cultural,2,Easy,0,Explore local market and shops at Mai Khola (Kankai river),"1,2,3,4,5,9,10,11,12"
dest,Museum Visit - Mai Khola (Kankai river),Cultural,2,Easy,400,Visit the local museum at Mai Khola (Kankai river),"1,2,3,4,5,9,10,11,12"
dest,Haluwagadh Kalikhola Simsaar Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Haluwagadh Kalikhola Simsaar,"3,4,5,9,10,11"
dest,Lake Boating - Haluwagadh Kalikhola Simsaar,Nature,2,Easy,500,Boating on the scenic lake at Haluwagadh Kalikhola Simsaar,"3,4,5,9,10,11"
dest,Waterfall Visit - Haluwagadh Kalikhola Simsaar,Nature,3,Easy,0,Visit to nearby waterfall at Haluwagadh Kalikhola Simsaar,"3,4,5,9,10,11"
dest,Nature Photography - Haluwagadh Kalikhola Simsaar,Nature,3,Easy,0,Photography at scenic viewpoints at Haluwagadh Kalikhola Simsaar,"3,4,5,9,10,11"
dest,Village Walk - Haluwagadh Kalikhola Simsaar,Nature,2,Easy,0,Walk through traditional villages at Haluwagadh Kalikhola Simsaar,"3,4,5,9,10,11"
dest,Viewpoint Visit - Haluwagadh Kalikhola Simsaar,Nature,1.5,Easy,0,Visit scenic viewpoint at Haluwagadh Kalikhola Simsaar,"3,4,5,9,10,11"
dest,Garden Tour - Haluwagadh Kalikhola Simsaar,Nature,2,Easy,200,Visit to botanical garden or park at Haluwagadh Kalikhola Simsaar,"3,4,5,9,10,11"
dest,Domukha Shivasatakshi Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Domukha Shivasatakshi,"3,4,5,9,10,11"
dest,Lake Boating - Domukha Shivasatakshi,Nature,2,Easy,500,Boating on the scenic lake at Domukha Shivasatakshi,"3,4,5,9,10,11"
dest,Waterfall Visit - Domukha Shivasatakshi,Nature,3,Easy,0,Visit to nearby waterfall at Domukha Shivasatakshi,"3,4,5,9,10,11"
dest,Nature Photography - Domukha Shivasatakshi,Nature,3,Easy,0,Photography at scenic viewpoints at Domukha Shivasatakshi,"3,4,5,9,10,11"
dest,Village Walk - Domukha Shivasatakshi,Nature,2,Easy,0,Walk through traditional villages at Domukha Shivasatakshi,"3,4,5,9,10,11"
dest,Viewpoint Visit - Domukha Shivasatakshi,Nature,1.5,Easy,0,Visit scenic viewpoint at Domukha Shivasatakshi,"3,4,5,9,10,11"
dest,Garden Tour - Domukha Shivasatakshi,Nature,2,Easy,200,Visit to botanical garden or park at Domukha Shivasatakshi,"3,4,5,9,10,11"
dest,Dhanpal fort Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Dhanpal fort,"1,2,3,4,5,9,10,11,12"
dest,Temple Visit - Dhanpal fort,Cultural,2,Easy,300,Visit the historic temple complex at Dhanpal fort,"1,2,3,4,5,9,10,11,12"
dest,Heritage Walk - Dhanpal fort,Cultural,3,Easy,200,Guided heritage walking tour at Dhanpal fort,"1,2,3,4,5,9,10,11,12"
dest,Cultural Dance Show - Dhanpal fort,Cultural,2,Easy,500,Traditional Nepali dance performance at Dhanpal fort,"1,2,3,4,5,9,10,11,12"
dest,Pottery Workshop - Dhanpal fort,Cultural,2,Easy,800,Learn traditional Nepali pottery at Dhanpal fort,"1,2,3,4,5,9,10,11,12"
dest,Local Market Tour - Dhanpal fort,Cultural,2,Easy,0,Explore local market and shops at Dhanpal fort,"1,2,3,4,5,9,10,11,12"
dest,Museum Visit - Dhanpal fort,Cultural,2,Easy,400,Visit the local museum at Dhanpal fort,"1,2,3,4,5,9,10,11,12"
dest,Koshi Barrage Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Koshi Barrage,"3,4,5,9,10,11"
dest,Lake Boating - Koshi Barrage,Nature,2,Easy,500,Boating on the scenic lake at Koshi Barrage,"3,4,5,9,10,11"
dest,Waterfall Visit - Koshi Barrage,Nature,3,Easy,0,Visit to nearby waterfall at Koshi Barrage,"3,4,5,9,10,11"
dest,Nature Photography - Koshi Barrage,Nature,3,Easy,0,Photography at scenic viewpoints at Koshi Barrage,"3,4,5,9,10,11"
dest,Village Walk - Koshi Barrage,Nature,2,Easy,0,Walk through traditional villages at Koshi Barrage,"3,4,5,9,10,11"
dest,Viewpoint Visit - Koshi Barrage,Nature,1.5,Easy,0,Visit scenic viewpoint at Koshi Barrage,"3,4,5,9,10,11"
dest,Garden Tour - Koshi Barrage,Nature,2,Easy,200,Visit to botanical garden or park at Koshi Barrage,"3,4,5,9,10,11"
dest,"jhandi dada, Illam Orientation Walk",Sightseeing,2,Easy,0,"Introductory walking tour of jhandi dada, Illam","3,4,5,9,10,11"
dest,"Mountain Trekking - jhandi dada, Illam",Adventure,4,Moderate,1500,"Trek through mountain trails at jhandi dada, Illam","3,4,5,9,10,11"
dest,"Sunrise Hike - jhandi dada, Illam",Adventure,3,Moderate,500,"Early morning hike to viewpoint at jhandi dada, Illam","3,4,5,9,10,11"
dest,"Rock Climbing - jhandi dada, Illam",Adventure,3,Challenging,2000,"Guided rock climbing session at jhandi dada, Illam","3,4,5,9,10,11"
dest,"River Crossing - jhandi dada, Illam",Adventure,2,Moderate,800,"Cross a suspension bridge at jhandi dada, Illam","3,4,5,9,10,11"
dest,"Mountain Biking - jhandi dada, Illam",Adventure,4,Challenging,2500,"Mountain biking trail ride at jhandi dada, Illam","3,4,5,9,10,11"
dest,"Camping Experience - jhandi dada, Illam",Adventure,8,Moderate,3000,"Overnight camping in nature at jhandi dada, Illam","3,4,5,9,10,11"
dest,"Indrenital, Damak Orientation Walk",Sightseeing,2,Easy,0,"Introductory walking tour of Indrenital, Damak","3,4,5,9,10,11"
dest,"Lake Boating - Indrenital, Damak",Nature,2,Easy,500,"Boating on the scenic lake at Indrenital, Damak","3,4,5,9,10,11"
dest,"Waterfall Visit - Indrenital, Damak",Nature,3,Easy,0,"Visit to nearby waterfall at Indrenital, Damak","3,4,5,9,10,11"
