name,slug,region,category,description,short_description,highlights,best_season,best_months,difficulty,min_days,max_days,base_price_per_day,image_url,latitude,longitude,tags,is_featured
Satasidham,satasidham,Terai,Nature,"Satasidham is a popular nature destination in the Terai region of Nepal. Known for its waterfall, pond, garden, cave, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Satasidham — a beautiful nature destination in Nepal.,Waterfall|Pond|Garden|Cave|Hindu,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/satasidham.jpg,26.8137,82.3767,"waterfall,pond,garden,cave,hindu,temple",False
Arjundhara Dham,arjundhara-dham,Terai,Cultural,"Arjundhara Dham is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, pond, gurukul, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Arjundhara Dham — a beautiful cultural destination in Nepal.,Hindu|Temple|Pond|Gurukul|Farm|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/arjundhara-dham.jpg,26.859,87.2227,"hindu,temple,pond,gurukul,farm",False
Kichakavadh,kichakavadh,Terai,Cultural,"Kichakavadh is a popular cultural destination in the Terai region of Nepal. Known for its hindu, pond, garden, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Kichakavadh — a beautiful cultural destination in Nepal.,Hindu|Pond|Garden|Temple|Castle Remnants|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/kichakavadh.jpg,27.144,84.6211,"hindu,pond,garden,temple,castle remnants",False
Biratpokhar,biratpokhar,Terai,Nature,"Biratpokhar is a popular nature destination in the Terai region of Nepal. Known for its hindu, pond, garden, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Biratpokhar — a beautiful nature destination in Nepal.,Hindu|Pond|Garden,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/biratpokhar.jpg,29.1709,85.212,"hindu,pond,garden",False
Krishnathumki,krishnathumki,Terai,Cultural,"Krishnathumki is a popular cultural destination in the Terai region of Nepal. Known for its hindu, pond, garden, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Krishnathumki — a beautiful cultural destination in Nepal.,Hindu|Pond|Garden|Temple|Boat Ride|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/krishnathumki.jpg,29.4431,80.3836,"hindu,pond,garden,temple,boat ride",False
Jamunkhadi Wetland,jamunkhadi-wetland,Terai,Nature,"Jamunkhadi Wetland is a popular nature destination in the Terai region of Nepal. Known for its wetland, pond, picnic, boat ride, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Jamunkhadi Wetland — a beautiful nature destination in Nepal.,Wetland|Pond|Picnic|Boat Ride|Wildlife,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/jamunkhadi-wetland.jpg,26.5021,87.7456,"wetland,pond,picnic,boat ride,wildlife",False
Hiledhap Wetland,hiledhap-wetland,Terai,Nature,"Hiledhap Wetland is a popular nature destination in the Terai region of Nepal. Known for its wetland, pond, wildlife, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Hiledhap Wetland — a beautiful nature destination in Nepal.,Wetland|Pond|Wildlife,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/hiledhap-wetland.jpg,27.983,82.7675,"wetland,pond,wildlife",False
Mai Khola (Kankai river),mai-khola-kankai-river,Terai,Cultural,"Mai Khola (Kankai river) is a popular cultural destination in the Terai region of Nepal. Known for its river, hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Mai Khola (Kankai river) — a beautiful cultural destination in Nepal.,River|Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/mai-khola-kankai-river.jpg,27.0468,84.622,"river,hindu,temple",False
Haluwagadh Kalikhola Simsaar,haluwagadh-kalikhola-simsaar,Terai,Nature,"Haluwagadh Kalikhola Simsaar is a popular nature destination in the Terai region of Nepal. Known for its pond, mountain bike ride, wetland, wildlife, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Haluwagadh Kalikhola Simsaar — a beautiful nature destination in Nepal.,Pond|Mountain Bike Ride|Wetland|Wildlife,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/haluwagadh-kalikhola-simsaar.jpg,27.2329,82.6502,"pond,mountain bike ride,wetland,wildlife",False
Domukha Shivasatakshi,domukha-shivasatakshi,Terai,Nature,"Domukha Shivasatakshi is a popular nature destination in the Terai region of Nepal. Known for its picnic, river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Domukha Shivasatakshi — a beautiful nature destination in Nepal.,Picnic|River,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/domukha-shivasatakshi.jpg,26.5656,84.2204,"picnic,river",False
