adventure_score,cultural_score,nature_score,luxury_score,budget_level,trip_duration_preference,num_days,hotel_type_encoded,activity_count,season_encoded,destination_base_price,num_travellers,total_cost_npr
0.64,0.03,0.28,0.22,0.74,14,3,2,4,0,2000,1,28905
0.6,0.56,0.72,0.7,0.42,10,10,1,1,0,8000,4,165027
0.22,0.76,0.1,0.38,0.36,7,10,1,1,2,5000,1,65452
0.29,0.63,0.89,0.36,0.19,3,3,2,2,1,2000,2,54658
0.45,0.83,0.16,0.36,0.67,3,10,2,2,2,8000,2,290475
0.27,0.93,0.69,0.22,0.32,3,4,0,3,1,4000,1,18957
0.72,0.21,0.5,0.88,0.64,5,5,0,2,2,6000,3,100213
0.9,0.4,0.22,1.0,0.51,3,3,0,2,2,3000,4,63244
0.38,1.0,0.53,0.97,0.86,3,3,2,5,1,10000,3,112494
0.16,0.0,0.72,0.72,0.97,5,10,0,6,1,10000,2,104848
0.16,0.95,0.92,0.92,0.6,10,3,0,3,1,3000,1,16919
0.08,0.73,0.82,0.98,0.53,5,4,2,4,2,3000,3,190314
0.96,0.93,0.76,0.69,0.71,10,5,1,5,1,2000,2,62189
0.02,0.55,0.59,0.01,0.71,3,4,0,1,1,2000,2,39756
0.21,0.13,0.94,0.57,0.47,10,7,0,1,0,8000,4,87051
0.47,0.73,0.67,0.98,0.1,10,5,0,2,0,3000,4,50881
0.28,0.25,0.92,0.44,0.86,14,3,0,6,2,10000,1,18453
0.41,0.48,0.86,0.9,0.16,3,7,1,4,1,5000,4,134110
0.22,0.06,0.74,0.06,0.31,3,10,1,5,2,3000,1,74534
0.19,0.6,0.68,0.24,0.12,14,4,2,5,0,6000,1,33622
0.57,0.32,0.26,0.67,0.31,7,7,0,6,2,4000,4,116665
0.46,1.0,1.0,0.07,0.21,7,4,1,1,0,4000,3,54361
0.54,0.3,0.98,0.81,0.53,14,5,2,1,0,4000,1,42082
0.27,0.6,0.72,0.2,0.63,7,10,1,3,0,2000,4,192234
0.0,0.77,0.64,0.26,0.74,14,7,2,1,0,2000,2,124340
0.37,0.55,0.43,0.04,0.36,3,5,0,6,0,8000,1,21824
0.87,0.97,0.75,0.93,0.24,5,4,1,1,0,8000,3,57110
0.67,0.74,0.25,0.16,0.7,10,3,1,2,0,10000,4,68867
0.8,0.23,0.02,0.19,0.33,3,5,1,6,2,5000,3,110156
0.97,0.18,0.96,0.27,0.11,10,5,2,3,1,6000,1,46533
0.25,0.71,0.0,0.93,0.54,5,5,1,1,2,4000,3,115377
0.9,0.51,0.67,0.33,0.7,14,4,0,4,2,5000,2,62146
0.41,0.83,0.3,0.21,0.79,14,5,1,4,1,8000,2,82113
0.9,0.8,0.17,0.08,0.52,14,5,0,2,2,4000,2,50285
0.02,0.24,0.48,0.85,0.07,10,10,0,6,2,5000,4,164508
0.66,0.01,0.75,0.77,0.11,10,4,0,6,2,5000,1,26817
0.85,0.46,0.8,0.67,0.99,14,5,1,5,2,6000,4,241087
0.16,0.86,0.45,0.75,0.84,7,10,1,6,0,4000,4,237298
0.23,0.34,0.89,0.08,0.15,10,4,2,2,0,5000,4,121930
0.42,0.21,0.42,0.9,0.58,3,10,1,4,0,4000,3,171102
0.89,0.84,0.54,0.73,0.8,5,7,0,3,1,5000,1,34039
0.68,0.4,0.17,0.47,0.13,14,10,0,4,2,6000,1,49204
0.14,0.46,0.05,0.38,0.21,7,5,1,3,1,4000,1,26801
0.54,1.0,0.35,0.65,0.78,3,3,0,2,0,6000,2,20108
0.67,0.56,0.22,0.7,0.77,5,10,2,6,2,2000,2,298888
0.03,0.31,0.68,0.96,0.4,5,3,2,6,2,3000,1,52195
0.68,0.81,0.8,0.57,0.04,14,7,2,3,0,6000,3,148621
0.49,0.43,0.36,0.89,0.46,5,7,0,6,2,8000,3,154006
0.48,0.44,0.73,0.27,0.85,3,5,1,2,1,6000,4,124469
0.85,0.18,0.21,0.8,0.34,14,5,2,1,2,3000,1,67220
0.49,0.76,0.69,0.65,0.49,3,3,1,2,1,8000,2,42262
0.37,0.55,0.34,1.0,0.55,7,7,1,3,1,3000,1,42687
0.12,0.54,0.76,0.19,0.22,10,5,2,5,2,6000,3,176709
0.23,0.18,0.01,0.53,0.27,3,10,1,6,0,8000,4,157425
0.28,0.48,0.34,0.97,0.25,10,3,0,4,1,2000,1,12010
0.56,0.3,0.99,0.12,0.76,14,10,2,2,2,5000,4,615941
0.59,0.43,0.57,0.06,0.96,3,4,2,2,1,8000,1,47258
0.55,0.16,0.41,0.69,0.47,3,4,1,6,1,8000,4,107707
0.92,0.79,0.63,0.66,0.93,10,3,2,2,2,3000,3,146612
0.06,0.79,0.6,0.82,0.92,10,3,1,6,1,8000,4,109184
0.49,0.08,0.04,0.43,0.32,7,3,0,2,2,10000,1,21574
0.27,0.04,0.76,0.47,0.65,7,4,2,4,2,10000,4,238206
0.41,0.32,0.1,0.16,0.41,10,5,2,4,2,2000,4,257808
0.32,0.97,0.4,0.51,0.99,14,7,1,1,0,6000,3,128292
0.44,0.05,0.27,0.13,0.29,10,3,0,6,2,10000,2,47498
0.55,0.55,0.09,0.99,0.91,10,3,2,2,1,8000,3,121706
0.42,0.48,0.47,0.46,0.14,5,10,2,6,0,10000,1,73383
0.93,0.51,0.82,0.28,0.3,14,10,2,4,0,5000,4,313459
0.76,0.38,0.93,0.87,0.98,5,10,1,2,1,2000,3,234406
0.91,0.38,0.99,0.79,0.65,5,7,0,2,2,6000,3,105545
0.53,0.46,0.72,0.41,0.65,5,3,1,3,1,6000,4,91151
0.33,0.67,0.53,0.95,0.63,10,10,0,5,0,3000,3,88658
0.98,0.76,0.7,0.1,0.17,7,3,0,3,0,4000,3,28735
0.24,0.41,0.68,0.18,0.18,14,7,2,6,0,5000,2,109982
0.25,0.26,0.01,0.8,0.9,14,4,0,4,1,6000,3,79093
0.25,0.85,0.2,0.38,0.48,5,7,2,3,2,4000,3,295201
0.27,0.57,0.69,0.74,0.05,14,7,1,2,2,10000,3,139033
0.62,0.68,0.72,0.66,0.84,3,3,1,4,0,6000,3,59378
0.91,0.33,0.42,0.2,0.79,7,10,2,3,0,4000,4,391164
0.87,0.8,0.47,0.08,0.75,5,7,2,3,0,10000,4,252081
0.12,0.37,0.75,0.26,0.38,7,3,2,2,1,2000,3,95521
0.06,0.82,0.91,0.3,0.41,5,3,0,3,1,2000,1,13066
0.39,0.37,0.95,0.7,0.54,14,4,1,6,0,10000,4,112309
0.95,0.03,0.37,0.44,0.95,7,3,2,3,2,8000,3,145252
0.19,0.12,0.85,0.45,0.66,14,3,0,3,0,3000,2,21894
0.59,0.81,0.23,0.77,0.79,14,3,1,2,0,6000,3,50292
0.66,0.03,0.01,0.79,0.24,7,3,0,3,0,3000,4,41906
0.06,0.45,0.36,0.59,0.45,5,10,0,6,2,6000,3,211998
0.03,1.0,0.85,0.43,0.11,10,3,0,3,2,3000,1,14022
0.63,0.55,0.33,0.99,0.53,10,10,2,4,0,10000,1,96237
0.77,0.72,0.22,0.45,0.23,7,7,1,4,2,2000,3,158087
0.25,0.95,0.69,0.47,0.09,3,3,1,1,2,8000,3,58579
0.06,0.96,0.56,0.67,0.41,10,3,1,5,1,4000,1,23794
0.15,0.48,0.85,0.35,0.56,3,5,2,2,1,10000,1,60491
0.69,0.03,0.27,0.76,0.92,7,3,0,2,2,8000,4,70016
0.63,0.03,0.75,0.22,0.42,7,4,1,3,2,4000,1,26598
0.75,0.05,0.08,0.44,0.42,14,7,1,3,0,10000,1,32113
0.28,0.68,0.49,0.67,0.05,10,10,0,1,0,4000,2,49201
0.26,0.33,0.01,0.75,0.18,10,10,2,2,2,6000,3,366755
0.74,0.44,0.46,0.08,0.31,10,10,1,6,2,5000,3,204360
0.97,0.17,0.95,0.46,0.69,7,3,1,1,0,5000,4,57057
0.87,0.75,0.22,0.78,0.08,3,10,2,2,1,4000,2,158339
0.26,0.17,0.15,0.76,0.08,10,7,2,5,1,8000,3,191011
0.44,0.47,0.63,0.8,0.59,7,10,0,3,1,5000,1,43831
0.29,0.64,0.98,0.09,0.59,10,7,2,5,2,2000,4,461408
0.19,0.61,0.5,0.96,0.45,7,3,2,6,0,2000,2,65117
0.52,0.61,0.36,0.92,0.39,7,10,0,6,2,4000,1,47835
0.68,0.28,0.72,0.66,0.91,5,5,0,5,2,3000,3,124680
0.66,0.13,0.71,0.08,0.56,7,4,2,6,2,8000,1,70503
0.51,0.02,0.31,0.95,0.34,10,4,0,2,0,2000,3,37586
0.77,0.84,0.88,0.04,0.34,14,4,2,4,0,3000,2,76826
0.9,0.72,0.04,0.36,0.72,10,10,1,6,1,3000,2,151118
0.84,0.37,0.95,0.98,0.46,7,7,2,5,1,3000,2,162070
0.87,0.05,0.48,0.37,0.93,14,3,1,1,0,4000,4,68647
0.44,0.95,0.22,0.45,0.35,3,7,0,4,2,4000,2,62835
0.22,0.32,0.1,0.71,0.34,5,4,0,3,1,8000,2,43538
0.45,0.01,0.08,0.26,0.83,14,10,2,4,0,10000,3,273157
0.05,0.42,0.79,0.46,0.11,10,10,2,1,2,6000,2,214373
0.43,0.61,0.24,0.42,0.66,3,10,1,1,2,6000,1,77679
0.64,0.98,0.25,0.02,0.79,7,4,2,6,2,2000,3,179484
0.55,0.81,0.18,0.78,0.46,10,4,0,1,2,10000,4,69583
0.04,0.2,0.04,0.93,0.52,14,7,1,1,2,3000,3,154936
0.66,0.27,0.8,0.44,0.4,10,7,1,2,1,8000,4,164951
0.8,0.73,0.08,0.6,0.82,14,5,1,1,0,4000,3,84131
0.72,0.17,0.44,0.45,0.73,7,10,1,3,2,10000,1,94572
0.41,0.51,0.75,0.16,0.03,14,7,0,2,0,3000,3,62116
0.57,0.61,0.68,0.95,0.37,3,10,0,5,1,5000,3,117741
0.96,0.03,0.19,0.52,0.91,3,5,1,6,1,3000,3,135737
0.12,0.85,0.45,0.9,0.45,3,5,2,3,2,2000,3,202535
0.71,0.7,0.17,0.36,0.22,5,4,0,4,0,4000,3,42777
0.61,0.09,0.31,1.0,0.72,14,7,1,5,0,3000,3,114506
0.47,0.52,0.13,0.83,0.55,14,4,0,4,2,10000,1,22653
0.3,0.16,0.93,0.23,0.95,14,5,0,3,0,8000,3,62638
0.61,0.09,0.64,0.59,0.58,5,10,2,5,1,10000,1,104603
0.05,0.64,0.58,0.65,0.77,10,10,2,1,1,8000,3,341487
0.24,0.81,0.41,0.45,0.69,5,7,1,4,1,3000,3,135466
0.86,0.32,0.99,0.35,0.4,7,10,2,1,1,3000,4,386380
0.25,0.1,0.29,0.38,0.62,5,4,1,5,2,4000,2,83526
1.0,0.47,0.88,0.5,0.09,10,10,1,2,0,6000,3,99734
0.49,0.88,0.65,0.47,0.54,3,7,0,3,2,4000,4,127647
0.05,0.56,0.36,0.29,0.39,10,10,1,5,2,6000,1,66893
0.37,0.99,0.56,0.37,0.14,14,10,1,5,0,2000,1,45142
0.8,0.52,0.15,0.89,0.14,14,5,0,4,2,8000,3,82107
0.83,0.53,0.71,0.3,0.82,7,5,2,1,1,6000,3,199050
0.69,0.03,0.47,0.97,0.78,14,10,0,6,0,6000,4,163914
0.72,0.77,0.38,0.82,0.24,14,3,0,1,1,4000,4,45753
0.2,0.5,0.61,0.47,0.85,3,4,2,2,2,4000,4,255615
0.96,0.46,0.53,0.55,0.68,7,10,1,2,0,4000,3,155654
